Timestamp,Gender,Age,District,Marital_status,Education,Employment,Income,Account_type,Mobile_banking_app_count,Bank_type,Period,Services,Motivation,Large_transactions,Frequency,ATM_withdrawal,Security_rating,Additional_charges,Reason,Rating
2020/10/31 8:09:34 pm GMT+5:30,Male,25-45,Gampaha,Married,Degree/Diploma,Private Sector - Employee,"Above 200,000",Savings;Fixed,2,Private,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Friends,Yes,3 - 6,Between 5000 to 10000,3,Fair,,3
2020/10/31 9:33:04 pm GMT+5:30,Male,25-45,Galle,Single,Degree/Diploma,Private Sector - Employee,"100,000 - 200,000",Savings;Loan,1,Private,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Transfer money to other accounts",Self-motivated,Yes,More than 12 times,More than 50000,4,Fair,,4
2020/10/31 9:42:32 pm GMT+5:30,Male,25-45,Gampaha,Single,Masters/Phd,Private Sector - Employee,"100,000 - 200,000",Current,3,Private,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,6 -9,Between 10000 to 50000,3,Fair,I don’t like waiting in the queue,4
2020/10/31 9:46:33 pm GMT+5:30,Male,25-45,Badulla,Single,Degree/Diploma,Private Sector - Employee,"Above 200,000",Savings;Loan;Fixed,More than 4,Private,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,More than 12 times,More than 50000,5,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue;Charges are unfair but I can pay,5
2020/10/31 9:47:07 pm GMT+5:30,Male,25-45,Colombo,Single,Degree/Diploma,Family Business / Self Employed,"Above 200,000",Savings;Fixed,1,Private,Less than 6 months,"Sorry, I am not using mobile app. I am using the web app. mobile app is not secure enough for me. ",Risks involved in resisting me to use mobile app,No,6 -9,More than 50000,1,Unfair,I am not using,1
2020/10/31 9:49:41 pm GMT+5:30,Female,16-25,Gampaha,Single,Secondary(upto O/L),Student,NA,Savings,2,Both Private and Public,Less than 6 months,"Pay bills (Electricity bill, Telephone bill, etc);Online payments for tuition classes",Friends,No,Less than 3 times,Between 5000 to 10000,3,Unfair,I don’t have time to go to the bank;COVID situation in country,3
2020/10/31 9:50:07 pm GMT+5:30,Female,25-45,Gampaha,Single,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings;Fixed,2,Private,1-2 years,Check account balance;Transfer money to other accounts;Send mobile cash,Friends,No,9 -12,Between 10000 to 50000,5,Fair,,5
2020/10/31 9:51:15 pm GMT+5:30,Female,25-45,Gampaha,Single,Degree/Diploma,Private Sector- Executive,"15,000 - 50,000",Savings,1,Public,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Self-motivated,Yes,Less than 3 times,Between 1000 to 5000,4,Fair,,3
2020/10/31 9:54:41 pm GMT+5:30,Male,25-45,Kalutara,Single,Degree/Diploma,Private Sector - Employee,"50,000 - 100,000",Savings,2,Both Private and Public,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Self-motivated,No,Less than 3 times,Between 10000 to 50000,4,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue;COVID situation in country,4
2020/10/31 9:57:20 pm GMT+5:30,Male,25-45,Gampaha,Single,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings,2,Both Private and Public,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc)",Friends,No,Less than 3 times,Between 10000 to 50000,4,Unfair,Charges are unfair but I can pay;COVID situation in country,3
2020/10/31 9:57:56 pm GMT+5:30,Male,16-25,Colombo,Single,Degree/Diploma,Private Sector - Employee,"15,000 - 50,000",Savings;Fixed,3,Private,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Send mobile cash",Friends,No,More than 12 times,Between 5000 to 10000,5,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue,5
2020/10/31 9:59:15 pm GMT+5:30,Male,25-45,Gampaha,Single,Degree/Diploma,Private Sector - Employee,"100,000 - 200,000",Savings;Fixed,3,Both Private and Public,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash;View exchange rates",Self-motivated,Yes,6 -9,Between 1000 to 5000,3,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue,4
2020/10/31 10:04:53 pm GMT+5:30,Male,25-45,Gampaha,Single,Degree/Diploma,Private Sector - Employee,"100,000 - 200,000",Savings,1,Private,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;View exchange rates",Self-motivated,Yes,More than 12 times,,4,Fair,,3
2020/10/31 10:05:57 pm GMT+5:30,Female,25-45,Gampaha,Single,Degree/Diploma,Private Sector- Executive,"100,000 - 200,000",Savings,1,Private,Less than 6 months,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,More than 12 times,Between 5000 to 10000,5,Fair,,5
2020/10/31 10:06:33 pm GMT+5:30,Male,25-45,Kurunegala,Single,Degree/Diploma,Family Business / Self Employed,"100,000 - 200,000",Savings,1,Both Private and Public,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Self-motivated,Yes,9 -12,Between 1000 to 5000,3,Fair,,4
2020/10/31 10:06:37 pm GMT+5:30,Female,25-45,Ratnapura,Married,Degree/Diploma,Private Sector- Executive,"50,000 - 100,000",Savings,1,Private,6 months - 1 year,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Self-motivated,Yes,3 - 6,Between 1000 to 5000,5,Unfair,Charges are unfair but I can pay,5
2020/10/31 10:06:44 pm GMT+5:30,Male,25-45,Ratnapura,Single,Degree/Diploma,Student,NA,Savings,1,Public,More than 2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts",Friends,Yes,More than 12 times,Between 5000 to 10000,4,Unfair,I don’t have time to go to the bank;I don’t like waiting in the queue,4
2020/10/31 10:06:58 pm GMT+5:30,Male,25-45,Gampaha,Married,Degree/Diploma,Private Sector - Employee,"100,000 - 200,000",Savings,3,Private,1-2 years,"Pay bills (Electricity bill, Telephone bill, etc);Check account balance;Transfer money to other accounts;Send mobile cash",Friends,No,3 - 6,Between 5000 to 10000,3,Fair,,3
